,pitch_type,game_date,pitcher,batter,player_name,game_pk,pitch_number,at_bat_number,inning,balls,strikes,zone,outs_when_up,inning_topbot,fld_score,bat_score,on_1b,on_2b,on_3b,if_fielding_alignment,of_fielding_alignment,plate_x,plate_z,pitch_count,prev_pitch_type,score_diff
15792,ST,2022-07-27,592094,641820,"Adam, Jason",661053,1,59,7,0,0,14.0,2,Bot,4,3,0,0,1,Standard,Standard,0.5093381574912833,0.8008772829335897,1,firstPitch,1
15791,ST,2022-07-27,592094,641820,"Adam, Jason",661053,2,59,7,1,0,6.0,2,Bot,4,3,0,0,1,Standard,Standard,0.3792849857180611,2.684405452517173,2,ST,1
15790,ST,2022-07-27,592094,641820,"Adam, Jason",661053,3,59,7,1,1,14.0,2,Bot,4,3,0,0,1,Standard,Standard,1.0627967579156568,0.2263153310584056,3,ST,1
15789,CH,2022-07-27,592094,641820,"Adam, Jason",661053,4,59,7,2,1,13.0,2,Bot,4,3,0,0,1,Standard,Standard,-1.1019997579508698,1.432585213659236,4,ST,1
15788,ST,2022-07-27,592094,641820,"Adam, Jason",661053,5,59,7,2,2,9.0,2,Bot,4,3,0,0,1,Standard,Standard,0.6360746194889211,1.9735655151235805,5,CH,1
15787,CH,2022-07-27,592094,623993,"Adam, Jason",661053,1,63,8,0,0,4.0,0,Bot,4,3,0,0,0,Infield shift,Standard,-0.4168097647428859,2.263334522717134,6,firstPitch,1
15786,CH,2022-07-27,592094,623993,"Adam, Jason",661053,2,63,8,0,1,14.0,0,Bot,4,3,0,0,0,Infield shift,Standard,0.337207472683229,1.0218656177809764,7,CH,1
15785,FF,2022-07-27,592094,623993,"Adam, Jason",661053,3,63,8,0,2,11.0,0,Bot,4,3,0,0,0,Infield shift,Standard,-0.1986913535978144,5.367869495635405,8,CH,1
15784,CH,2022-07-27,592094,623993,"Adam, Jason",661053,4,63,8,1,2,7.0,0,Bot,4,3,0,0,0,Infield shift,Standard,-0.5933644194944483,1.807686118379708,9,FF,1
15783,ST,2022-07-27,592094,663624,"Adam, Jason",661053,1,64,8,0,0,14.0,1,Bot,4,3,0,0,0,Infield shift,Standard,0.8543747418562851,2.41212578164681,10,firstPitch,1
15782,ST,2022-07-27,592094,663624,"Adam, Jason",661053,2,64,8,0,1,8.0,1,Bot,4,3,0,0,0,Infield shift,Standard,-0.1289282699663075,2.134396894027601,11,ST,1
15781,ST,2022-07-27,592094,663624,"Adam, Jason",661053,3,64,8,0,2,14.0,1,Bot,4,3,0,0,0,Standard,Standard,0.6508426528252773,0.8248932538925859,12,ST,1
15780,ST,2022-07-27,592094,669720,"Adam, Jason",661053,1,65,8,0,0,14.0,2,Bot,4,3,0,0,0,Infield shift,Standard,2.314509582737714,0.473103791906754,13,firstPitch,1
15779,ST,2022-07-27,592094,669720,"Adam, Jason",661053,2,65,8,1,0,11.0,2,Bot,4,3,0,0,0,Infield shift,Standard,-1.6800108231297788,3.444407843732555,14,ST,1
15778,CH,2022-07-27,592094,669720,"Adam, Jason",661053,3,65,8,2,0,11.0,2,Bot,4,3,0,0,0,Infield shift,Standard,-1.979188858298449,3.5392779901802034,15,ST,1
15777,CH,2022-07-27,592094,596059,"Adam, Jason",661053,1,66,8,0,0,8.0,2,Bot,4,3,1,0,0,Infield shift,Standard,-0.233511508152495,1.488720129380869,16,firstPitch,1
15776,FF,2022-07-27,592094,596059,"Adam, Jason",661053,2,66,8,0,1,1.0,2,Bot,4,3,1,0,0,Infield shift,Standard,-0.4898165924680421,3.2369001676062243,17,CH,1
15775,FF,2022-07-27,592094,596059,"Adam, Jason",661053,3,66,8,0,2,11.0,2,Bot,4,3,1,0,0,Infield shift,Standard,-0.3572371206232904,3.593492220743432,18,FF,1
39541,SI,2022-07-22,650633,663624,"King, Michael",661072,1,64,7,0,0,8.0,1,Bot,7,6,0,0,0,Standard,Standard,0.049626211159484,2.122904001410181,1,firstPitch,1
39540,SI,2022-07-22,650633,663624,"King, Michael",661072,2,64,7,0,1,13.0,1,Bot,7,6,0,0,0,Standard,Standard,-0.2286552033279567,-0.0959824398210635,2,SI,1
39539,SI,2022-07-22,650633,663624,"King, Michael",661072,3,64,7,1,1,7.0,1,Bot,7,6,0,0,0,Standard,Standard,-0.6536296472961602,1.7709393219279972,3,SI,1
39538,ST,2022-07-22,650633,663624,"King, Michael",661072,4,64,7,1,2,13.0,1,Bot,7,6,0,0,0,Standard,Standard,-0.3849730080554547,1.3908061964027358,4,SI,1
39537,SI,2022-07-22,650633,669720,"King, Michael",661072,1,65,7,0,0,7.0,2,Bot,7,6,0,0,0,Standard,Standard,-0.6703031246645548,1.5082588455219554,5,firstPitch,1
39536,FF,2022-07-22,650633,669720,"King, Michael",661072,2,65,7,0,1,14.0,2,Bot,7,6,0,0,0,Standard,Standard,1.586330821793568,2.048990872823772,6,SI,1
39535,ST,2022-07-22,650633,669720,"King, Michael",661072,3,65,7,1,1,8.0,2,Bot,7,6,0,0,0,Standard,Standard,-0.2102781136303628,1.764272423292928,7,FF,1
39534,ST,2022-07-22,650633,596059,"King, Michael",661072,1,69,8,0,0,14.0,0,Bot,7,6,0,0,0,Infield shift,Standard,0.230314819191082,1.0481687066934602,8,firstPitch,1
39533,CH,2022-07-22,650633,596059,"King, Michael",661072,2,69,8,1,0,11.0,0,Bot,7,6,0,0,0,Infield shift,Standard,-3.4166155973888754,2.5955887186043243,9,ST,1
39532,ST,2022-07-22,650633,596059,"King, Michael",661072,3,69,8,2,0,13.0,0,Bot,7,6,0,0,0,Infield shift,Standard,-0.8864577015080397,1.751003716476069,10,CH,1
39531,FF,2022-07-22,650633,596059,"King, Michael",661072,4,69,8,2,1,4.0,0,Bot,7,6,0,0,0,Infield shift,Standard,-0.6645920373174768,2.0448993563796054,11,ST,1
39530,FF,2022-07-22,650633,596059,"King, Michael",661072,5,69,8,2,2,5.0,0,Bot,7,6,0,0,0,Infield shift,Standard,0.2376615899589701,2.195085249093005,12,FF,1
39529,FF,2022-07-22,650633,596059,"King, Michael",661072,6,69,8,2,2,4.0,0,Bot,7,6,0,0,0,Infield shift,Standard,-0.6091588072986184,1.9337961876758527,13,FF,1
39528,ST,2022-07-22,650633,596059,"King, Michael",661072,7,69,8,2,2,6.0,0,Bot,7,6,0,0,0,Infield shift,Standard,0.3728792153062372,2.331617665390794,14,FF,1
39527,SI,2022-07-22,650633,602104,"King, Michael",661072,1,70,8,0,0,11.0,1,Bot,7,6,0,0,0,Standard,Standard,-1.554252420875037,2.466295173797909,15,firstPitch,1
39526,SI,2022-07-22,650633,602104,"King, Michael",661072,2,70,8,0,1,13.0,1,Bot,7,6,0,0,0,Standard,Standard,-1.236505625792762,2.0493215415301744,16,SI,1
39525,ST,2022-07-22,650633,602104,"King, Michael",661072,3,70,8,0,2,14.0,1,Bot,7,6,0,0,0,Standard,Standard,1.6505316575405684,0.1477876424904991,17,SI,1
26851,FF,2022-07-27,608337,453568,"Giolito, Lucas",661078,1,4,1,0,0,12.0,0,Bot,0,0,0,0,0,Infield shift,Standard,0.1031532898693735,4.6846400999293785,1,firstPitch,0
26850,CH,2022-07-27,608337,453568,"Giolito, Lucas",661078,2,4,1,1,0,13.0,0,Bot,0,0,0,0,0,Infield shift,Standard,-0.918211081161154,2.543785132993718,2,FF,0
26849,CH,2022-07-27,608337,453568,"Giolito, Lucas",661078,3,4,1,2,0,8.0,0,Bot,0,0,0,0,0,Infield shift,Standard,-0.0645008393400127,1.9577428203615623,3,CH,0
26848,CH,2022-07-27,608337,453568,"Giolito, Lucas",661078,4,4,1,2,1,3.0,0,Bot,0,0,0,0,0,Infield shift,Standard,0.6016371045196016,3.2188452789749173,4,CH,0
26847,SL,2022-07-27,608337,453568,"Giolito, Lucas",661078,5,4,1,2,2,9.0,0,Bot,0,0,0,0,0,Infield shift,Standard,0.3240876491989699,2.1495358620348526,5,CH,0
